"translation","source"
"Condições de Limpeza de Quest","Quest Clear Conditions"
"Exibir Condições de Limpeza de Quest 1010_1","クエストクリア条件を表示　　１０１０＿１"
"Adquirir 7 Pedras de Água Verde.{LF}Você só pode lutar com espadas.","Acquire 7 Tealstones.{LF}You may only fight with swords."
"Adquirir 8 Chifres de Boi.{LF}Você só pode lutar com espadas.","Acquire 8 Ox Horns.{LF}You may only fight with swords."
"Adquirir 9 Livros de Esperança.","Acquire 9 Books of Hope."
"Exibir Condições de Limpeza de Quest 1020_1","クエストクリア条件を表示　　１０２０＿１"
"Adquirir 3 Pedras de Cor-de-Rosa.{LF}Você só pode lutar com espadas.","Acquire 3 Pinkstones.{LF}You may only fight with swords."
"Adquirir 3 Chifres de Unicórnio.{LF}Você só pode lutar com espadas.","Acquire 3 Unicorn Horns.{LF}You may only fight with swords."
"Adquirir 3 Livros de Ambição.","Acquire 3 Books of Ambition."
"Reunir tanto ouro quanto possível antes{LF}do tempo expirar.","Gather as much gold as you can before{LF}time expires."
"Exibir Condições de Limpeza de Quest 1030_2","クエストクリア条件を表示　　１０３０＿２"
"Exibir Condições de Limpeza de Quest 1040_1","クエストクリア条件を表示　　１０４０＿１"
"Exibir Condições de Limpeza de Quest 1040_2","クエストクリア条件を表示　　１０４０＿２"
"Retornar vivo da partida de sobrevivência.","Return from the survival match alive."
"Retornar vivo da partida de sobrevivência.","Return from the survival match alive."
"Retornar vivo da partida de sobrevivência.","Return from the survival match alive."
"Retornar vivo da partida de sobrevivência.","Return from the survival match alive."
"Exibir Condições de Limpeza de Quest 2010_1","クエストクリア条件を表示　　２０１０＿１"
"Exibir Condições de Limpeza de Quest 2010_2","クエストクリア条件を表示　　２０１０＿２"
"Exibir Condições de Limpeza de Quest 2020_1","クエストクリア条件を表示　　２０２０＿１"
"Adquirir 7 Pedras de Fogo.{LF}Você só pode lutar com lanças.","Acquire 7 Flintstones.{LF}You may only fight with spears."
"Adquirir 8 Garras de Falcão.{LF}Você só pode lutar com lanças.","Acquire 8 Hawk Talons.{LF}You may only fight with spears."
"Adquirir 9 Livros de Reticência.","Acquire 9 Books of Reticence."
"Exibir Condições de Limpeza de Quest 2030_1","クエストクリア条件を表示　　２０３０＿１"
"Exibir Condições de Limpeza de Quest 2030_2","クエストクリア条件を表示　　２０３０＿２"
"Reunir tanto ouro quanto possível antes{LF}do tempo expirar.","Gather as much gold as you can before{LF}time expires."
"Exibir Condições de Limpeza de Quest 2040_2","クエストクリア条件を表示　　２０４０＿２"
"Exibir Condições de Limpeza de Quest 2050_1","クエストクリア条件を表示　　２０５０＿１"
"Adquirir 3 Pedras de Âmbar.{LF}Você só pode lutar com lanças.","Acquire 3 Amberstones.{LF}You may only fight with spears."
"Adquira 3 Garras de Águia.{LF}Você só pode lutar com lanças.","Acquire 3 Eagle Talons.{LF}You may only fight with spears."
"Adquira 3 Livros de Estoicismo.","Acquire 3 Books of Stoicism."
"Exibir condições de conclusão da quest　　 2060_1","クエストクリア条件を表示　　２０６０＿１"
"Exibir condições de conclusão da quest　　 2060_2","クエストクリア条件を表示　　２０６０＿２"
