"translation","source"
"Defesa","Guarding"
"Parry","Parrying"
"Mini-mapa","The Mini-map"
"Modo Intoner","Intoner Mode"
"Combo de Ataques","Combo Attacks"
"Combos Aéreos","Aerial Combos"
"Travar Mira","Locking On"
"Menu de Pausa","The Pause Menu"
"Esquiva","Evading"
"Esquiva Aérea","Aerial Evading"
"Ajuda na Navegação","Navigation Help"
"Troca de Armas","Switching Weapons"
"Combinações em Sequência","Chain Combos"
"Círculos de Invocação","Summon Circles"
"Histórias das Armas","Weapon Stories"
"Melhorando Armas","Upgrading Weapons"
"Espadas","Swords"
"Continuações","Continues"
"Pedidos de Accord","Accord's Requests"
"Lanças","Spears"
"Ataque (Aerotransportado)","Airborne Attacking"
"Esquiva (Aerotransportado)","Airborne Evading"
"Braçadeiras de Combate","Combat Bracers"
"Chakrams","Chakrams"
"Dano Solar","Sun Damage"
"DICA_25","ＴＩＰＳ_２５"
"DICA_26","ＴＩＰＳ_２６"
"DICA_27","ＴＩＰＳ_２７"
"DICA_28","ＴＩＰＳ_２８"
"DICA_29","ＴＩＰＳ_２９"
"DICA_30","ＴＩＰＳ_３０"
"DICA_31","ＴＩＰＳ_３１"
"DICA_32","ＴＩＰＳ_３２"
"DICA_33","ＴＩＰＳ_３３"
"DICA_34","ＴＩＰＳ_３４"
"DICA_35","ＴＩＰＳ_３５"
"DICA_36","ＴＩＰＳ_３６"
"DICA_37","ＴＩＰＳ_３７"
"DICA_38","ＴＩＰＳ_３８"
"DICA_39","ＴＩＰＳ_３９"
"A Cidade Catedral","The Cathedral City"
"A Terra dos Mares","The Land of Seas"
"A Terra das Montanhas","The Land of Mountains"
"A Terra das Florestas","The Land of Forests"
"A Terra das Areias","The Land of Sands"
"Governantes","Rulers"
"A Igreja","The Church"
"Irmã Mais Nova","Younger Sister"
"Irmã Mais Velha","Elder Sister"
"A Academia de Magia","The Magic Academy"
"Magia","Magic"
"Intoners","Intoners"
"Lojas de Armas","Weapon Shops"
"Dragões","Dragons"
"Milagres","Miracles"
"O Cataclismo","The Cataclysm"
"Múltiplos Mundos","Multiple Worlds"
"Singularidades","Singularities"
"O Poder da Canção","The Power of Song"
"A Flor","The Flower"
"DICA_60","ＴＩＰＳ_６０"
"DICA_61","ＴＩＰＳ_６１"
"DICA_62","ＴＩＰＳ_６２"
"DICA_63","ＴＩＰＳ_６３"
"DICA_64","ＴＩＰＳ_６４"
"DICA_65","ＴＩＰＳ_６５"
"DICA_66","ＴＩＰＳ_６６"
"DICA_67","ＴＩＰＳ_６７"
"DICA_68","ＴＩＰＳ_６８"
"DICA_69","ＴＩＰＳ_６９"
"DICA_70","ＴＩＰＳ_７０"
"DICA_71","ＴＩＰＳ_７１"
"DICA_72","ＴＩＰＳ_７２"
"DICA_73","ＴＩＰＳ_７３"
"DICA_74","ＴＩＰＳ_７４"
"DICA_75","ＴＩＰＳ_７５"
"DICA_76","ＴＩＰＳ_７６"
"DICA_77","ＴＩＰＳ_７７"
"DICA_78","ＴＩＰＳ_７８"
"DICA_79","ＴＩＰＳ_７９"
