"translation","source"
"Missão Concluída!{#Name=""Explicação""}","Mission Complete!{#Name=""Explanation""}"
"Missão Falhou...{#Name=""Explicação""}","Mission Failed...{#Name=""Explanation""}"
"Bônus triplo de ouro conquistado!{#Name=""Explicação""}","Triple gold bonus earned!{#Name=""Explanation""}"
"Bônus duplo de ouro conquistado!{#Name=""Explicação""}","Double gold bonus earned!{#Name=""Explanation""}"
"Você coletou um pouco de ouro.{#Name=""Explicação""}","You collected a little gold.{#Name=""Explanation""}"
"Você coletou uma quantidade razoável de ouro.{#Name=""Explicação""}","You collected a fair amount of gold.{#Name=""Explanation""}"
"Você coletou muito ouro!{#Name=""Explicação""}","You collected a lot of gold!{#Name=""Explanation""}"
"Você coletou todo o ouro!{#Name=""Explicação""}","You collected all the gold!{#Name=""Explanation""}"
"Você pegou um pouco de ouro.{#Name=""Explicação""}","You took a little gold.{#Name=""Explanation""}"
"Você pegou uma quantidade razoável de ouro.{#Name=""Explicação""}","You took a fair amount of gold.{#Name=""Explanation""}"
"Você pegou muito ouro!{#Name=""Explicação""}","You took a lot of gold!{#Name=""Explanation""}"
"Tempo esgotado!{#Name=""Explicação""}","Time's up!{#Name=""Explanation""}"
"Soldado Dourado a caminho.{LF}Derrote-o para um bônus de multiplicador de ouro!{#Name=""Explicação""}","Gold soldier incoming.{LF}Defeat him for a gold multiplier bonus!{#Name=""Explanation""}"
"Reforços adicionais de soldados dourados.{LF}Ganhe um bônus de multiplicador de ouro para cada um derrotado!{#Name=""Explicação""}","More gold soldier reinforcements.{LF}Earn a gold multiplier bonus for each one defeated!{#Name=""Explanation""}"
"Bônus de multiplicador de ouro conquistado!{#Name=""Explicação""}","Gold multiplier bonus earned!{#Name=""Explanation""}"
"Todo o ouro conquistado perdido...{#Name=""Explicação""}","All earned gold lost...{#Name=""Explanation""}"
"Todos os soldados dourados derrotados!{#Name=""Explicação""}","All gold soldiers defeated!{#Name=""Explanation""}"
"Vou levar esses tolos por tudo que eles têm!{#Name=""Zero""}","I'll take these fools for all they got!{#Name=""Zero""}"
"Esses tesouros são meus!{#Name=""Zero""}","Those treasures are mine!{#Name=""Zero""}"
"Eu consigo me soltar e ganhar dinheiro?{LF}O que mais uma garota pode pedir?{#Name=""Zero""}","I get to let loose AND earn cash?{LF}What more can a girl ask for?{#Name=""Zero""}"
"Ei, desde que seja divertido e lucrativo...{#Name=""Zero""}","Hey, long as it's fun AND profitable...{#Name=""Zero""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Colete dinheiro e vá para o objetivo.{#Name=""Explicação""}","Collect money and head for the goal.{#Name=""Explanation""}"
"Se você alcançar o objetivo após coletar todo o dinheiro, você ganhará um bônus triplo!{#Name=""Explicação""}","If you reach the goal after collecting all of the money, you'll earn a triple bonus!{#Name=""Explanation""}"
"Se você não alcançar o objetivo, o dinheiro que você coletou será magicamente transformado em cinzas.{#Name=""Explicação""}","If you don't reach the goal, the money you collected will be magically transformed into ash.{#Name=""Explanation""}"
"Você coletou todo o dinheiro!{#Name=""Explicação""}","You've collected all the money!{#Name=""Explanation""}"
"Vá para o objetivo e obtenha o dinheiro!{#Name=""Explicação""}","Head for the goal and get the money!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue o ouro dos soldados!{#Name=""Explicação""}","Take the gold from the soldiers!{#Name=""Explanation""}"
"Derrote os soldados para ganhar o dobro do ouro!{#Name=""Explicação""}","Defeat the soldiers to earn double the gold!{#Name=""Explanation""}"
"Soldados derrotados!{#Name=""Explicação""}","Soldiers defeated!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue o ouro dos gigas!{#Name=""Explicação""}","Take the gold from the gigas!{#Name=""Explanation""}"
"Derrote os gigas para ganhar o dobro do ouro!{#Name=""Explicação""}","Defeat the gigas to earn double the gold!{#Name=""Explanation""}"
"Gigas derrotados!{#Name=""Explicação""}","Gigas defeated!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue o ouro dos soldados e ogros!{#Name=""Explicação""}","Take the gold from the soldiers and ogres!{#Name=""Explanation""}"
"Derrote os soldados e ogros para ganhar o dobro do ouro!{#Name=""Explicação""}","Defeat the soldiers and ogres to earn double the gold!{#Name=""Explanation""}"
"Soldados e ogros derrotados!{#Name=""Explicação""}","Soldiers and ogres defeated!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue o ouro do titã!{#Name=""Explicação""}","Take the gold from the titan!{#Name=""Explanation""}"
"Derrote o titã para ganhar o dobro do ouro!{#Name=""Explicação""}","Defeat the titan to earn double the gold!{#Name=""Explanation""}"
"Titã derrotado!{#Name=""Explicação""}","Titan defeated!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue o ouro do centauro!{#Name=""Explicação""}","Take the gold from the centaur!{#Name=""Explanation""}"
"Derrote o centauro para ganhar o dobro do ouro!{#Name=""Explicação""}","Defeat the centaur to earn double the gold!{#Name=""Explanation""}"
"Centauro derrotado!{#Name=""Explicação""}","Centaur defeated!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue o ouro dos soldados e mortos-vivos!{#Name=""Explicação""}","Take the gold from the soldiers and undead!{#Name=""Explanation""}"
"Derrote os soldados e mortos-vivos para ganhar o dobro do ouro!{#Name=""Explicação""}","Defeat the soldiers and undead to earn double the gold!{#Name=""Explanation""}"
"Soldados e mortos-vivos derrotados!{#Name=""Explicação""}","Soldiers and undead defeated!{#Name=""Explanation""}"
"Quando perto de uma estátua, a luz iluminará sua visão.{#Name=""Explicação""}","When near a statue, the light will illuminate your view.{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue o ouro dos soldados e magos!{#Name=""Explicação""}","Take the gold from the soldiers and wizards!{#Name=""Explanation""}"
"Derrote os soldados e magos para ganhar o dobro do ouro!{#Name=""Explicação""}","Defeat the soldier and wizard to earn double the gold!{#Name=""Explanation""}"
"Soldados e magos derrotados!{#Name=""Explicação""}","Soldiers and wizards defeated!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue o ouro do golem!{#Name=""Explicação""}","Take the gold from the golem!{#Name=""Explanation""}"
"Derrote os golems para ganhar o dobro do ouro!{#Name=""Explicação""}","Defeat the golems to earn double the gold!{#Name=""Explanation""}"
"Golens derrotados!{#Name=""Explicação""}","Golems defeated!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue o ouro de todos os seus inimigos!{#Name=""Explicação""}","Take the gold from all your enemies!{#Name=""Explanation""}"
"Derrote todos os inimigos para ganhar o dobro do ouro!{#Name=""Explicação""}","Defeat all the enemies to earn double the gold!{#Name=""Explanation""}"
"Todos os inimigos derrotados!{#Name=""Explicação""}","All enemies defeated!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Sobreviva por sete rodadas!{#Name=""Explicação""}","Survive for seven rounds!{#Name=""Explanation""}"
"Sobreviva por oito rodadas!{#Name=""Explicação""}","Survive for eight rounds!{#Name=""Explanation""}"
"Sobreviva por nove rodadas!{#Name=""Explicação""}","Survive for nine rounds!{#Name=""Explanation""}"
"Sobreviva por dez rodadas!{#Name=""Explicação""}","Survive for ten rounds!{#Name=""Explanation""}"
"Sobreviva em todas as rodadas e você ganhará um bônus!{#Name=""Explicação""}","Survive every round and you'll earn a bonus!{#Name=""Explanation""}"
"Seja derrotado e você não ganhará nada!{#Name=""Explicação""}","Fall in battle and you won't earn anything!{#Name=""Explanation""}"
"Se você se sentir sobrecarregado, retire-se e manterá todo o ouro que conquistou!{#Name=""Explicação""}","If you feel outclassed, retire and you'll keep any gold you earned!{#Name=""Explanation""}"
"Você sobreviveu em todas as rodadas!{#Name=""Explicação""}","You survived every round!{#Name=""Explanation""}"
"Bônus obtido!{#Name=""Explicação""}","Bonus obtained!{#Name=""Explanation""}"
"Continuar para a próxima rodada?{#Name=""Explicação""}","Continue on to the next round?{#Name=""Explanation""}"
"Se retirar?{#Name=""Explicação""}","Retire here?{#Name=""Explanation""}"
"Rodada 1{#Name=""Explicação""}","Round 1{#Name=""Explanation""}"
"Rodada 2{#Name=""Explicação""}","Round 2{#Name=""Explanation""}"
"Rodada 3{#Name=""Explicação""}","Round 3{#Name=""Explanation""}"
"Rodada 4{#Name=""Explicação""}","Round 4{#Name=""Explanation""}"
"Rodada 5{#Name=""Explicação""}","Round 5{#Name=""Explanation""}"
"Rodada 6{#Name=""Explicação""}","Round 6{#Name=""Explanation""}"
"Rodada 7{#Name=""Explicação""}","Round 7{#Name=""Explanation""}"
"Rodada 8{#Name=""Explicação""}","Round 8{#Name=""Explanation""}"
"Rodada 9{#Name=""Explicação""}","Round 9{#Name=""Explanation""}"
"Rodada 10{#Name=""Explicação""}","Round 10{#Name=""Explanation""}"
"Sair da arena?{#Name=""Explicação""}","Exit the arena?{#Name=""Explanation""}"
"Continuar para a próxima rodada?{LF}(9 rodadas restantes){#Name=""Explicação""}","Continue on to the next round?{LF}(9 rounds left){#Name=""Explanation""}"
"Continuar para a próxima rodada?{LF}(8 rodadas restantes){#Name=""Explicação""}","Continue on to the next round?{LF}(8 rounds left){#Name=""Explanation""}"
"Continuar para a próxima rodada?{LF}(7 rodadas restantes){#Name=""Explicação""}","Continue on to the next round?{LF}(7 rounds left){#Name=""Explanation""}"
"Continuar para a próxima rodada?{LF}(6 rodadas restantes){#Name=""Explicação""}","Continue on to the next round?{LF}(6 rounds left){#Name=""Explanation""}"
"Continuar para a próxima rodada?{LF}(5 rodadas restantes){#Name=""Explicação""}","Continue on to the next round?{LF}(5 rounds left){#Name=""Explanation""}"
"Continuar para a próxima rodada?{LF}(4 rodadas restantes){#Name=""Explicação""}","Continue on to the next round?{LF}(4 rounds left){#Name=""Explanation""}"
"Continuar para a próxima rodada?{LF}(3 rodadas restantes){#Name=""Explicação""}","Continue on to the next round?{LF}(3 rounds left){#Name=""Explanation""}"
"Continuar para a próxima rodada?{LF}(2 rodadas restantes){#Name=""Explicação""}","Continue on to the next round?{LF}(2 rounds left){#Name=""Explanation""}"
"Continuar para a próxima rodada?{LF}(1 rodada restante){#Name=""Explicação""}","Continue on to the next round?{LF}(1 round left){#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue as Pedra Turquesa dos alvos!{#Name=""Explicação""}","Take the Tealstones from the targets!{#Name=""Explanation""}"
"Todas as Pedra Turquesa adquiridas!{#Name=""Explicação""}","All Tealstones acquired!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue as Pedra de Sílex dos alvos!{#Name=""Explicação""}","Take the Flintstones from the targets!{#Name=""Explanation""}"
"Todas as Pedra de Sílex adquiridas!{#Name=""Explicação""}","All Flintstones acquired!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue as Pedra Nutritiva dos alvos!{#Name=""Explicação""}","Take the Foodstones from the targets!{#Name=""Explanation""}"
"Todas as Pedra Nutritiva adquiridas!{#Name=""Explicação""}","All Foodstones acquired!{#Name=""Explanation""}"
"Quando perto de uma estátua, a luz iluminará sua visão.{#Name=""Explicação""}","When near a statue, the light will illuminate your view.{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue as Pedras Flutuantes dos alvos!{#Name=""Explicação""}","Take the Floatstones from the targets!{#Name=""Explanation""}"
"Todas as Pedras Flutuantes adquiridas!{#Name=""Explicação""}","All Floatstones acquired!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue as Pedras Cometa dos alvos!{#Name=""Explicação""}","Take the Cometstones from the targets!{#Name=""Explanation""}"
"Todas as Pedras Cometa adquiridas!{#Name=""Explicação""}","All Cometstones acquired!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Chifres de Boi dos alvos!{#Name=""Explicação""}","Take the Ox Horns from the targets!{#Name=""Explanation""}"
"Todos os Chifres de Boi adquiridos!{#Name=""Explicação""}","All Ox Horns acquired!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue as Garras de Falcão dos alvos!{#Name=""Explicação""}","Take the Hawk Talons from the targets!{#Name=""Explanation""}"
"Todas as Garras de Falcão adquiridas!{#Name=""Explicação""}","All Hawk Talons acquired!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Ferrões de Sapo dos alvos!{#Name=""Explicação""}","Take the Toad Stingers from the targets!{#Name=""Explanation""}"
"Todos os Ferrões de Sapo adquiridos!{#Name=""Explicação""}","All Toad Stingers acquired!{#Name=""Explanation""}"
"Quando perto de uma estátua, a luz iluminará sua visão!{#Name=""Explicação""}","When near a statue, the light will illuminate your view!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Fósseis de Osso dos alvos!{#Name=""Explicação""}","Take the Bone Fossils from the targets!{#Name=""Explanation""}"
"Todos os Fósseis de Osso adquiridos!{#Name=""Explicação""}","All Bone Fossils acquired!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Artefatos do Mundo Antigo dos alvos!{#Name=""Explicação""}","Take the Old-World Artifacts from the targets!{#Name=""Explanation""}"
"Todos os Artefatos do Mundo Antigo adquiridos!{#Name=""Explicação""}","All Old-World Artifacts acquired!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Livros da Esperança dos alvos!{#Name=""Explicação""}","Take the Books of Hope from the targets!{#Name=""Explanation""}"
"Todos os Livros da Esperança adquiridos!{#Name=""Explicação""}","All Books of Hope acquired!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Livros da Reticência dos alvos!{#Name=""Explicação""}","Take the Books of Reticence from the targets!{#Name=""Explanation""}"
"Todos os Livros da Reticência adquiridos!{#Name=""Explicação""}","All Books of Reticence acquired!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Livros da Santidade dos alvos!{#Name=""Explicação""}","Take the Books of Sanctity from the targets!{#Name=""Explanation""}"
"Todos os Livros da Santidade adquiridos!{#Name=""Explicação""}","All Books of Sanctity acquired!{#Name=""Explanation""}"
"Quando perto de uma estátua, a luz iluminará sua visão!{#Name=""Explicação""}","When near a statue, the light will illuminate your view!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Livros da Pureza dos alvos!{#Name=""Explicação""}","Take the Books of Purity from the targets!{#Name=""Explanation""}"
"Todos os Livros da Pureza adquiridos!{#Name=""Explicação""}","All Books of Purity acquired!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Livros da Doutrina dos alvos!{#Name=""Explicação""}","Take the Books of Doctrine from the targets!{#Name=""Explanation""}"
"Todos os Livros da Doutrina adquiridos!{#Name=""Explicação""}","All Books of Doctrine acquired!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue as Pedras Rosadas escondidas nos baús de aço!{#Name=""Explicação""}","Take the Pinkstones hidden in the steel chests!{#Name=""Explanation""}"
"Todas as Pedras Rosadas coletadas!{#Name=""Explicação""}","All Pinkstones collected!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue as Pedras Âmbar escondidas nos baús de aço!{#Name=""Explicação""}","Take the Amberstones hidden in the steel chests!{#Name=""Explanation""}"
"Todas as Pedras Âmbar coletadas!{#Name=""Explicação""}","All Amberstones collected!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue as Pedras de Movimento escondidas nos baús de aço!{#Name=""Explicação""}","Take the Movestones hidden in the steel chests!{#Name=""Explanation""}"
"Todas as Pedras de Movimento coletadas!{#Name=""Explicação""}","All Movestones collected!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue as Magnetita escondidas nos baús de aço!{#Name=""Explicação""}","Take the Magnetite stones hidden in the steel chests!{#Name=""Explanation""}"
"Todas as Magnetita coletadas!{#Name=""Explicação""}","All Magnetite stones collected!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"Pegue os Meteoritos escondidos nos baús de aço!{#Name=""Explicação""}","Take the Meteorite stones hidden in the steel chests!{#Name=""Explanation""}"
"Todas os Meteoritos coletados!{#Name=""Explicação""}","All Meteorite stones collected!{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
"予備{#Name=""Explicação""}","予備{#Name=""Explanation""}"
