"translation","source"
"Uma Intoner talentosa com habilidades de batalha super-humanas.{LF}Ela é aberta e desinibida com os homens, mas violenta e preguiçosa{LF}por natureza. Ela tem uma estranha flor crescendo em seu olho direito.{#Name=""Zero""}","A gifted Intoner with superhuman battle skills. She is open{LF}and uninhibited with men, yet violent and lazy by nature.{LF}She has a strange flower growing out of her right eye.{#Name=""Zero""}"
"Um dragão orgulhoso e feroz, dito ser o mais poderoso do mundo.{LF}Inteligente e forte além da medida,ele é o único verdadeiro{LF}confidente que Zero já teve.{#Name=""Michael""}","A fiercely proud dragon, said to be the most powerful in{LF}the world. Vastly intelligent and strong beyond measure,{LF}he is the only true confidant Zero has ever had.{#Name=""Michael""}"
"A forma pós-reencarnação de Michael que viaja com Zero.{LF}Um idealista e pacifista, ele acha que todos conflitos podem{LF}ser resolvidos com palavras apenas.{#Name=""Mikhail (Estágio 1)""}","The post-reincarnation form of Michael that travels{LF}with Zero. An idealist and a pacifist, he thinks all{LF}conflicts can be solved with words alone.{#Name=""Mikhail (Stage 1)""}"
"A forma pós-reencarnação de Michael que viaja{LF}com Zero. Um idealista e pacifista, ele acha que todos conflitos podem{LF}ser resolvidos com palavras apenas.{#Name=""Mikhail (Estágio 2)""}","The post-reincarnation form of Michael that travels{LF}with Zero. An idealist and a pacifist, he thinks all{LF}conflicts can be solved with words alone.{#Name=""Mikhail (Stage 2)""}"
"A forma pós-reencarnação de Michael que viaja{LF}com Zero. Um idealista e pacifista, ele acha que todos conflitos podem{LF}ser resolvidos com palavras apenas.{#Name=""Mikhail (Estágio 3)""}","The post-reincarnation form of Michael that travels{LF}with Zero. An idealist and a pacifist, he thinks all{LF}conflicts can be solved with words alone.{#Name=""Mikhail (Stage 3)""}"
"Um discípulo que empunha uma lança com um traço sádico{LF}extremo e a habilidade de rapidamente detectar as fraquezas{LF}dos outros.Ele deriva grande prazer dos gritos de seus inimigos.{#Name=""Dito""}","A spear-wielding disciple with an extreme sadistic streak{LF}and the ability to quickly sense the weaknesses of others.{LF}He derives great pleasure from the screams of his foes.{#Name=""Dito""}"
"Um discípulo bem-construído que luta com os punhos. O mais{LF}sensato de seus colegas, ele sempre se comporta como um cavalheiro, {LF}mas é na verdade um masoquista que desfruta de dor sem fim.{#Name=""Decadus""}","A well-built disciple who fights with his fists. The most{LF}sensible of his colleagues, he always behaves as a gentleman, {LF}but is actually a masochist who enjoys pain to no end.{#Name=""Decadus""}"
"Um discípulo com aparência de idoso que luta com chakrams.{LF}Ele se orgulha de uma apetite sexual insaciável,{LF}e é dito que carrega alguma...anatomia impressionante.{#Name=""Octa""}","An elderly-looking disciple who fights with chakrams.{LF}He boasts a seemingly insatiable sexual appetite,{LF}and is said to carry some...impressive anatomy.{#Name=""Octa""}"
"Um discípulo narcisista que luta com lâminas gêmeas. Apesar de{LF}sua extrema confiança em si mesmo, o ""conhecimento"" que ele escolhe{LF}impartir é frequentemente falso e acaba apenas irritando todos.{#Name=""Cent""}","A narcissistic disciple who fights with twin blades. In spite of{LF}his extreme self-confidence, the ""knowledge"" that he chooses{LF}to impart is often false and just ends up annoying everyone.{#Name=""Cent""}"
"A Intoner mais jovem e governante da Terra dos Mares. Gananciosa{LF}e superficial, ela deseja tudo o que vê (incluindo Zero), mas{LF}perde interesse assim que o obtém. Gosta de insinuações sexuais.{#Name=""Five""}","The youngest Intoner, and ruler of the Land of Seas. Greedy{LF}and shallow, she desires all she sees (including Zero), but{LF}loses interest once she gets it. Fond of sexual innuendo.{#Name=""Five""}"
"A virgem solitária Intoner, e governante da Terra das Montanhas.{LF}Ela finge uma postura superior para esconder seu complexo de{LF}inferioridade profundo e inibições.{#Name=""Four""}","The lone virgin Intoner, and ruler of the Land of Mountains.{LF}She fakes a superior air in order to hide her deep-seated{LF}inferiority complex and inhibitions.{#Name=""Four""}"
"A Intoner indolente que governa a Terra das Florestas. Ela tem{LF}gostos sexuais distorcidos e uma personalidade desligada e bizarra.{LF}Ela gosta de experimentar em humanos para transformá-los em bonecas.{#Name=""Three""}","The listless Intoner who rules the Land of Forests. She has{LF}twisted sexual tastes and a detached, bizarre personality.{LF}She enjoys experimenting on humans to turn them into dolls.{#Name=""Three""}"
"Uma Intoner brilhante e alegre que governa a Terra das Areias.{LF}Ela está apaixonada por Cent, embora um incidente infeliz{LF}tenha destruído sua mente, deixando-a em um estado infantil.{#Name=""Two""}","A bright and cheerful Intoner who rules the Land of Sands.{LF}She is in love with Cent, though an unfortunate incident{LF}shattered her mind, leaving her in a childlike state.{#Name=""Two""}"
