"translation","source","can_modify"
"Story summary 0010 First line{LF}Story summary 0010 Second line{LF}Story summary 0010 Third line{LF}Story summary 0010 Fourth line{LF}Story summary 0010 Fifth line","ストーリーあらすじ　００１０　　　一行目{LF}ストーリーあらすじ　００１０　　　二行目{LF}ストーリーあらすじ　００１０　　　三行目{LF}ストーリーあらすじ　００１０　　　四行目{LF}ストーリーあらすじ　００１０　　　五行目","1"
"Story summary 0020 First line{LF}Story summary 0020 Second line{LF}Story summary 0020 Third line{LF}Story summary 0020 Fourth line{LF}Story summary 0020 Fifth line","ストーリーあらすじ　００２０　　　一行目{LF}ストーリーあらすじ　００２０　　　二行目{LF}ストーリーあらすじ　００２０　　　三行目{LF}ストーリーあらすじ　００２０　　　四行目{LF}ストーリーあらすじ　００２０　　　五行目","1"
"Story summary 1010 First line{LF}Story summary 1010 Second line{LF}Story summary 1010 Third line{LF}Story summary 1010 Fourth line{LF}Story summary 1010 Fifth line","ストーリーあらすじ　１０１０　　　一行目{LF}ストーリーあらすじ　１０１０　　　二行目{LF}ストーリーあらすじ　１０１０　　　三行目{LF}ストーリーあらすじ　１０１０　　　四行目{LF}ストーリーあらすじ　１０１０　　　五行目","1"
"Story summary 1020 First line{LF}Story summary 1020 Second line{LF}Story summary 1020 Third line{LF}Story summary 1020 Fourth line{LF}Story summary 1020 Fifth line","ストーリーあらすじ　１０２０　　　一行目{LF}ストーリーあらすじ　１０２０　　　二行目{LF}ストーリーあらすじ　１０２０　　　三行目{LF}ストーリーあらすじ　１０２０　　　四行目{LF}ストーリーあらすじ　１０２０　　　五行目","1"
"Story summary 1030 First line{LF}Story summary 1030 Second line{LF}Story summary 1030 Third line{LF}Story summary 1030 Fourth line{LF}Story summary 1030 Fifth line","ストーリーあらすじ　１０３０　　　一行目{LF}ストーリーあらすじ　１０３０　　　二行目{LF}ストーリーあらすじ　１０３０　　　三行目{LF}ストーリーあらすじ　１０３０　　　四行目{LF}ストーリーあらすじ　１０３０　　　五行目","1"
"Story summary 1040 First line{LF}Story summary 1040 Second line{LF}Story summary 1040 Third line{LF}Story summary 1040 Fourth line{LF}Story summary 1040 Fifth line","ストーリーあらすじ　１０４０　　　一行目{LF}ストーリーあらすじ　１０４０　　　二行目{LF}ストーリーあらすじ　１０４０　　　三行目{LF}ストーリーあらすじ　１０４０　　　四行目{LF}ストーリーあらすじ　１０４０　　　五行目","1"
"Story summary 2010 First line{LF}Story summary 2010 Second line{LF}Story summary 2010 Third line{LF}Story summary 2010 Fourth line{LF}Story summary 2010 Fifth line","ストーリーあらすじ　２０１０　　　一行目{LF}ストーリーあらすじ　２０１０　　　二行目{LF}ストーリーあらすじ　２０１０　　　三行目{LF}ストーリーあらすじ　２０１０　　　四行目{LF}ストーリーあらすじ　２０１０　　　五行目","1"
"Story summary 2020 First line{LF}Story summary 2020 Second line{LF}Story summary 2020 Third line{LF}Story summary 2020 Fourth line{LF}Story summary 2020 Fifth line","ストーリーあらすじ　２０２０　　　一行目{LF}ストーリーあらすじ　２０２０　　　二行目{LF}ストーリーあらすじ　２０２０　　　三行目{LF}ストーリーあらすじ　２０２０　　　四行目{LF}ストーリーあらすじ　２０２０　　　五行目","1"
"Story summary 2030 First line{LF}Story summary 2030 Second line{LF}Story summary 2030 Third line{LF}Story summary 2030 Fourth line{LF}Story summary 2030 Fifth line","ストーリーあらすじ　２０３０　　　一行目{LF}ストーリーあらすじ　２０３０　　　二行目{LF}ストーリーあらすじ　２０３０　　　三行目{LF}ストーリーあらすじ　２０３０　　　四行目{LF}ストーリーあらすじ　２０３０　　　五行目","1"
"Story summary 2040 First line{LF}Story summary 2040 Second line{LF}Story summary 2040 Third line{LF}Story summary 2040 Fourth line{LF}Story summary 2040 Fifth line","ストーリーあらすじ　２０４０　　　一行目{LF}ストーリーあらすじ　２０４０　　　二行目{LF}ストーリーあらすじ　２０４０　　　三行目{LF}ストーリーあらすじ　２０４０　　　四行目{LF}ストーリーあらすじ　２０４０　　　五行目","1"
