"translation","source","can_modify"
"Sem nome","名前無し","1"
"Poção de Recuperação (P)","Recovery Potion (S)","1"
"Poção de Recuperação (M)","Recovery Potion (M)","1"
"Poção de Recuperação (G)","Recovery Potion (L)","1"
"Garrafa de Recuperação (P)","生命の小瓶","1"
"Poção de Recuperação (Max)","Recovery Potion (Max)","1"
"Fragmento Misterioso","神秘の欠片","1"
"Cristal Misterioso","神秘の結晶","1"
"Elixir de Longevidade","霊長薬","1"
"Lâmina de Ressurreição","再生の刃","1"
"Poção de Força","Strength Potion","1"
"Colônia de Exaltação","高揚のコロン","1"
"Poção de Defesa","Defense Potion","1"
"Colônia de Vitalidade","精力のコロン","1"
"Pílula da Tortura","加虐の丸薬","1"
"Pílula do Masoquismo","被虐の丸薬","1"
"Pílula da Supremacia","絶倫の丸薬","1"
"Pílula da Ignorância","衆愚の丸薬","1"
"Reserva","予備","1"
"Esfera de Cura (P)","Healsphere (S)","1"
"Esfera de Cura (M)","Healsphere (M)","1"
"Esfera de Cura (G)","Healsphere (L)","1"
"Esfera de Sangue (P)","Bloodsphere (S)","1"
"Esfera de Sangue (G)","Bloodsphere (L)","1"
"Esfera de EXP","EXP Sphere","1"
"Material Base de Cobre","Copper Base Material","1"
"Material Base de Prata","Silver Base Material","1"
"Material Base de Ouro","Gold Base Material","1"
"Material Base Branco","White Base Material","1"
"Material Base Preto","Black Base Material","1"
"Medalha do Mar","海のメダル","1"
"Moeda de Cobre Enferrujada","Rusted Copper Coin","1"
"Medalha da Floresta","森のメダル","1"
"Moeda de Cobre Rachada","Cracked Copper Coin","1"
"Moeda de Prata Antiga","Antique Silver Coin","1"
"Moeda de Cobre Polida","Polished Copper Coin","1"
"Moeda de Ouro Antiga","Antique Gold Coin","1"
"Medalha de Espadachim C","剣兵のメダルC","1"
"Moeda de Prata Opaca","Chalky Silver Coin","1"
"Medalha de Espadachim E","剣兵のメダルE","1"
"Moeda de Cobre Goblin","Copper Goblin Coin","1"
"Medalha de Lanceiro B","槍兵のメダルB","1"
"Moeda de Prata Merrow","Silver Merrow Coin","1"
"Moeda de Ouro Valquíria","Gold Valkyrie Coin","1"
"Moeda de Ouro Fênix","Gold Phoenix Coin","1"
"Moeda de Cobre Angelos","Copper Angelos Coin","1"
"Moeda de Prata Arche","Silver Arche Coin","1"
"Moeda de Prata Tronos","Silver Thrones Coin","1"
"Moeda de Prata Querubim","Silver Cherub Coin","1"
"Moeda de Prata Serafim","Silver Seraph Coin","1"
"Medalha de Arqueiro A","弓兵のメダルA","1"
"Moeda da Devoção","Devotion Coin","1"
"Medalha de Arqueiro C","弓兵のメダルC","1"
"Medalha de Arqueiro D","弓兵のメダルD","1"
"Moeda da Benevolência","Benevolence Coin","1"
"Moeda da Gentileza","Kindness Coin","1"
"Moeda da Afeição","Affection Coin","1"
"Medalha de Canhoneiro C","砲兵のメダルC","1"
"Medalha de Canhoneiro D","砲兵のメダルD","1"
"Medalha de Canhoneiro E","砲兵のメダルE","1"
"Medalha de Mago","魔導師のメダル","1"
"Medalha de Mago 2","魔導師２のメダル","1"
"Medalha de Mago 3","魔導師３のメダル","1"
"Medalha de Morto-Vivo","アンデッドのメダル","1"
"Medalha de Morto-Vivo 2","アンデッド２のメダル","1"
"Medalha de Morto-Vivo 3","アンデッド３のメダル","1"
"Medalha de Ogro","オーガのメダル","1"
"Medalha de Ogro 2","オーガ２のメダル","1"
"Medalha de Troll","トロルのメダル","1"
"Medalha de Troll 2","トロル２のメダル","1"
"Medalha de Lobo","オオカミのメダル","1"
"Medalha de Lobo 2","オオカミ２のメダル","1"
"Medalha de Cavaleiro","騎馬兵のメダル","1"
"Medalha de Cavaleiro 2","騎馬兵２のメダル","1"
"Medalha de Espírito","スピリットのメダル","1"
"Medalha de Espírito 2","スピリット２のメダル","1"
"Medalha de Diabinho","インプのメダル","1"
"Medalha de Gigas","ギガースのメダル","1"
"Medalha de Gigas 2","ギガース２のメダル","1"
"Medalha de Gigas 3","ギガース３のメダル","1"
"Medalha de Espadachim Gigante","巨人剣士のメダル","1"
"Medalha de Espadachim Gigante 2","巨人剣士２のメダル","1"
"Medalha de Espadachim Gigante 3","巨人剣士３のメダル","1"
"Medalha de Cérbero","ケルベロスのメダル","1"
"Medalha de Cérbero 2","ケルベロス２のメダル","1"
"Medalha de Cérbero 3","ケルベロス３のメダル","1"
"Medalha de Golem","ゴーレムのメダル","1"
"Medalha de Centauro","ケンタウロスのメダル","1"
"Medalha de Ifrite","イーフリートのメダル","1"
"Medalha de Phanuel","ファヌエルのメダル","1"
"Medalha de Armisael","アルサミエルのメダル","1"
"Medalha de Egregori","エグリゴリのメダル","1"
"Medalha de Raphael","ラファエルのメダル","1"
"Medalha de Galgaliel","ガルガリエルのメダル","1"
"Medalha de Abdiel","アプディエルのメダル","1"
"Medalha de Zofiel","ゾフィエルのメダル","1"
"Medalha de Gabriel","ガブリエルのメダル","1"
"Medalha de Reserva 1","予備のメダル１","1"
"Medalha de Reserva 2","予備のメダル２","1"
"Medalha de Reserva 3","予備のメダル３","1"
"Medalha de Reserva 4","予備のメダル４","1"
"Medalha de Reserva 5","予備のメダル５","1"
"Medalha de Reserva 6","予備のメダル６","1"
"Medalha de Reserva 7","予備のメダル７","1"
"Medalha de Reserva 8","予備のメダル８","1"
